,birth_year,credit_score,yearly_income,income_type,employment_type,houseown_type,desired_amount,purpose,existing_loan_cnt,existing_loan_amt,gender,time,cluster,count,kmeans_minmax
22967,30,860.0,35000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,생활비,5.0,57000000.0,1.0,534,0,3,3
22968,20,790.0,40000000.0,FREELANCER,기타,자가,20000000.0,대환대출,3.0,53000000.0,0.0,476,0,1,2
22974,50,760.0,30000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,대환대출,2.0,47000000.0,1.0,523,0,1,0
22976,40,1000.0,70000000.0,EARNEDINCOME,정규직,전월세,120000000.0,전월세보증금,1.0,0.0,1.0,555,0,3,0
22991,30,930.0,35000000.0,OTHERINCOME,기타,전월세,100000000.0,기타,1.0,3000000.0,1.0,73,0,2,2
22997,30,750.0,55000000.0,EARNEDINCOME,정규직,자가,100000000.0,대환대출,6.0,150000000.0,0.0,1092,0,2,1
22999,40,1000.0,65000000.0,EARNEDINCOME,정규직,자가,300000000.0,주택구입,2.0,11000000.0,1.0,301,0,1,0
23004,30,590.0,40000000.0,OTHERINCOME,기타,기타가족소유,1000000.0,생활비,3.0,18000000.0,1.0,1897,0,8,2
23005,30,940.0,57000000.0,EARNEDINCOME,정규직,전월세,300000000.0,전월세보증금,3.0,43000000.0,0.0,402,0,1,1
23007,50,970.0,10000000.0,OTHERINCOME,기타,자가,10000000.0,생활비,1.0,18000000.0,1.0,348,0,1,2
23014,30,680.0,24000000.0,EARNEDINCOME2,기타,전월세,4000000.0,생활비,3.0,21000000.0,1.0,789,0,6,2
23026,30,640.0,2000000.0,FREELANCER,기타,전월세,8000000.0,생활비,1.0,5000000.0,1.0,502,0,1,2
23029,40,860.0,92000000.0,EARNEDINCOME,정규직,자가,30000000.0,대환대출,9.0,13000000.0,1.0,576,0,2,0
23030,20,700.0,37000000.0,EARNEDINCOME,정규직,전월세,80000000.0,사업자금,1.0,18000000.0,1.0,3997,0,11,0
23054,40,660.0,35000000.0,EARNEDINCOME,정규직,전월세,50000000.0,대환대출,1.0,18000000.0,1.0,446,0,1,0
23058,30,920.0,85000000.0,PRACTITIONER,정규직,전월세,200000000.0,대환대출,4.0,236000000.0,1.0,367,0,1,0
23059,40,930.0,80000000.0,EARNEDINCOME,정규직,자가,450000000.0,주택구입,3.0,84000000.0,1.0,858,0,1,0
23067,20,680.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,45000000.0,대환대출,2.0,47000000.0,0.0,632,0,2,1
23084,20,850.0,42000000.0,EARNEDINCOME,정규직,기타가족소유,30000000.0,투자,3.0,36000000.0,1.0,291,0,1,0
23088,30,720.0,400000000.0,PRIVATEBUSINESS,기타,자가,7000000.0,생활비,17.0,676000000.0,0.0,3105,0,10,2
23096,30,560.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,대환대출,6.0,77000000.0,1.0,1206,0,5,0
23097,40,750.0,60000000.0,EARNEDINCOME,정규직,전월세,25000000.0,대환대출,2.0,64000000.0,1.0,671,0,2,0
23120,40,540.0,26000000.0,EARNEDINCOME,정규직,전월세,15000000.0,대환대출,7.0,45000000.0,0.0,289,0,1,1
23121,20,540.0,33000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,생활비,2.0,25000000.0,1.0,1614,0,9,3
23139,20,600.0,35000000.0,EARNEDINCOME,계약직,기타가족소유,30000000.0,대환대출,7.0,43000000.0,1.0,581,0,7,0
23157,30,650.0,80000000.0,PRIVATEBUSINESS,정규직,자가,50000000.0,생활비,3.0,72000000.0,1.0,779,0,1,3
23159,30,670.0,44000000.0,EARNEDINCOME,정규직,자가,8000000.0,대환대출,4.0,57000000.0,1.0,1158,0,3,0
23165,30,580.0,36000000.0,EARNEDINCOME,정규직,기타가족소유,10000000.0,투자,1.0,18000000.0,0.0,2607,0,8,1
23176,40,640.0,36000000.0,PRIVATEBUSINESS,정규직,전월세,100000000.0,전월세보증금,2.0,16000000.0,0.0,259,0,1,1
23177,40,590.0,16000000.0,PRACTITIONER,정규직,전월세,1000000.0,생활비,1.0,17000000.0,1.0,987,0,3,3
23195,20,650.0,30000000.0,OTHERINCOME,기타,전월세,10000000.0,대환대출,1.0,6000000.0,1.0,164,0,1,2
23209,40,680.0,30000000.0,EARNEDINCOME,정규직,전월세,20000000.0,대환대출,2.0,17000000.0,1.0,558,0,1,0
23210,30,1000.0,32000000.0,EARNEDINCOME,정규직,전월세,20000000.0,생활비,3.0,5000000.0,1.0,201,0,2,3
23216,20,770.0,15000000.0,OTHERINCOME,기타,전월세,3000000.0,생활비,3.0,20000000.0,0.0,379,0,1,2
23229,40,610.0,37000000.0,EARNEDINCOME,정규직,자가,12000000.0,대환대출,10.0,132000000.0,0.0,327,0,2,1
23242,40,660.0,50000000.0,PRIVATEBUSINESS,정규직,자가,30000000.0,사업자금,3.0,72000000.0,1.0,290,0,2,0
23244,30,680.0,43000000.0,EARNEDINCOME,계약직,전월세,14000000.0,대환대출,1.0,18000000.0,1.0,1133,0,2,0
23248,40,730.0,100000000.0,OTHERINCOME,기타,자가,50000000.0,대환대출,5.0,180000000.0,1.0,1704,0,1,2
23250,40,660.0,50000000.0,PRIVATEBUSINESS,정규직,자가,30000000.0,사업자금,2.0,31000000.0,1.0,1131,0,5,0
23267,20,840.0,29000000.0,EARNEDINCOME,기타,기타가족소유,30000000.0,대환대출,5.0,28000000.0,1.0,741,0,1,0
23270,40,620.0,10000000.0,EARNEDINCOME2,기타,전월세,5000000.0,대환대출,3.0,11000000.0,0.0,158,0,1,2
23273,20,760.0,25000000.0,FREELANCER,기타,전월세,1000000.0,생활비,3.0,23000000.0,1.0,162,0,1,2
23296,30,920.0,48000000.0,EARNEDINCOME,정규직,전월세,30000000.0,대환대출,1.0,38000000.0,1.0,1109,0,2,0
23302,20,700.0,30000000.0,FREELANCER,기타,전월세,100000000.0,전월세보증금,1.0,18000000.0,0.0,639,0,1,2
23317,20,800.0,20000000.0,OTHERINCOME,기타,자가,1200000000.0,기타,1.0,18000000.0,1.0,1035,0,1,2
23318,40,730.0,10000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,대환대출,2.0,7000000.0,0.0,729,0,1,1
23321,40,940.0,50000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,3.0,52000000.0,1.0,574,0,2,0
23326,20,660.0,28000000.0,EARNEDINCOME,정규직,기타가족소유,27000000.0,대환대출,6.0,54000000.0,0.0,641,0,1,1
23329,20,730.0,1000000.0,OTHERINCOME,기타,전월세,30000000.0,생활비,3.0,20000000.0,1.0,558,0,2,2
23334,30,830.0,40000000.0,EARNEDINCOME,정규직,기타가족소유,50000000.0,대환대출,3.0,36000000.0,1.0,150,0,1,0
23345,40,770.0,37000000.0,PRIVATEBUSINESS,정규직,자가,30000000.0,대환대출,2.0,41000000.0,1.0,815,0,2,0
23357,30,760.0,20000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,사업자금,2.0,26000000.0,1.0,224,0,1,0
23362,50,610.0,70000000.0,PRIVATEBUSINESS,기타,기타가족소유,20000000.0,생활비,6.0,9000000.0,1.0,1799,0,3,2
23369,20,670.0,12000000.0,FREELANCER,기타,전월세,10000000.0,대환대출,11.0,10000000.0,1.0,364,0,1,2
23379,30,630.0,24000000.0,EARNEDINCOME,계약직,전월세,30000000.0,대환대출,1.0,11000000.0,1.0,687,0,2,0
23389,20,650.0,20000000.0,EARNEDINCOME,정규직,전월세,1000000.0,생활비,2.0,4000000.0,0.0,1019,0,2,1
23393,40,560.0,40000000.0,EARNEDINCOME,정규직,전월세,30000000.0,생활비,8.0,106000000.0,0.0,1190,0,1,1
23395,40,620.0,27000000.0,EARNEDINCOME,정규직,자가,20000000.0,대환대출,13.0,95000000.0,0.0,3361,0,22,1
23406,40,860.0,63000000.0,EARNEDINCOME,정규직,자가,15000000.0,생활비,7.0,124000000.0,1.0,267,0,1,3
23419,30,640.0,36000000.0,OTHERINCOME,기타,전월세,2000000.0,생활비,1.0,5000000.0,0.0,483,0,1,2
23430,40,670.0,17000000.0,EARNEDINCOME,정규직,자가,5000000.0,생활비,3.0,84000000.0,1.0,286,0,1,3
23434,20,630.0,24000000.0,EARNEDINCOME,정규직,기타가족소유,15000000.0,생활비,7.0,36000000.0,0.0,1603,0,6,1
23435,40,570.0,50000000.0,EARNEDINCOME,정규직,기타가족소유,40000000.0,생활비,1.0,14000000.0,1.0,170,0,1,3
23438,20,690.0,26000000.0,EARNEDINCOME,계약직,전월세,8000000.0,생활비,1.0,8000000.0,0.0,494,0,4,1
23441,30,940.0,41000000.0,EARNEDINCOME,정규직,전월세,40000000.0,생활비,3.0,84000000.0,1.0,1030,0,1,3
23451,60,620.0,127000000.0,FREELANCER,기타,자가,30000000.0,대환대출,3.0,65000000.0,1.0,1019,0,1,2
23453,50,840.0,24000000.0,EARNEDINCOME,정규직,전월세,60000000.0,대환대출,2.0,53000000.0,1.0,1507,0,6,0
23456,20,660.0,32000000.0,EARNEDINCOME,계약직,전월세,0.0,생활비,1.0,2000000.0,1.0,459,0,1,3
23458,30,670.0,30000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,8.0,31000000.0,0.0,1503,0,2,1
23459,30,870.0,34000000.0,EARNEDINCOME,정규직,전월세,40000000.0,생활비,4.0,117000000.0,1.0,460,0,9,3
23463,40,900.0,45000000.0,EARNEDINCOME,정규직,자가,10000000.0,생활비,5.0,45000000.0,1.0,508,0,1,3
23465,40,680.0,48000000.0,EARNEDINCOME,정규직,전월세,21000000.0,대환대출,6.0,216000000.0,1.0,464,0,1,0
23469,30,560.0,66000000.0,EARNEDINCOME,정규직,전월세,5000000.0,생활비,3.0,25000000.0,1.0,731,0,3,3
23474,20,700.0,36000000.0,OTHERINCOME,기타,기타가족소유,3000000.0,대환대출,3.0,7000000.0,1.0,203,0,1,2
23480,40,670.0,40000000.0,EARNEDINCOME2,정규직,전월세,30000000.0,대환대출,2.0,31000000.0,1.0,1082,0,2,0
23481,40,660.0,25000000.0,PRIVATEBUSINESS,기타,전월세,20000000.0,사업자금,3.0,28000000.0,0.0,750,0,4,2
23486,30,710.0,70000000.0,PRIVATEBUSINESS,정규직,자가,30000000.0,생활비,2.0,181000000.0,0.0,3316,0,8,1
23489,20,500.0,44000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,생활비,6.0,69000000.0,1.0,210,0,1,3
23505,30,590.0,26000000.0,EARNEDINCOME,정규직,기타가족소유,1000000.0,생활비,8.0,55000000.0,0.0,1076,0,2,1
23507,40,740.0,32000000.0,EARNEDINCOME2,정규직,기타가족소유,25000000.0,대환대출,3.0,21000000.0,0.0,1439,0,3,1
23517,20,730.0,3000000.0,EARNEDINCOME,정규직,전월세,10000000.0,전월세보증금,3.0,43000000.0,1.0,230,0,1,0
23527,20,880.0,36000000.0,EARNEDINCOME,정규직,기타가족소유,100000000.0,전월세보증금,1.0,18000000.0,1.0,541,0,1,0
23529,40,700.0,34000000.0,EARNEDINCOME,정규직,전월세,150000000.0,전월세보증금,3.0,125000000.0,1.0,883,0,2,0
23532,50,720.0,43000000.0,EARNEDINCOME,계약직,기타가족소유,43000000.0,대환대출,1.0,30000000.0,1.0,571,0,4,0
23534,30,800.0,35000000.0,EARNEDINCOME,정규직,기타가족소유,17000000.0,대환대출,3.0,36000000.0,1.0,868,0,1,0
23535,30,520.0,32000000.0,EARNEDINCOME,정규직,전월세,25000000.0,대환대출,3.0,43000000.0,1.0,802,0,2,0
23548,30,600.0,60000000.0,PRIVATEBUSINESS,기타,기타가족소유,40000000.0,사업자금,4.0,36000000.0,1.0,3861,0,5,2
23569,30,840.0,150000000.0,FREELANCER,기타,전월세,100000000.0,대환대출,3.0,71000000.0,1.0,783,0,3,2
23577,30,640.0,35000000.0,EARNEDINCOME,정규직,자가,60000000.0,생활비,10.0,205000000.0,1.0,1119,0,4,3
23578,40,650.0,24000000.0,OTHERINCOME,기타,전월세,10000000.0,대환대출,3.0,20000000.0,0.0,338,0,1,2
23581,40,880.0,15000000.0,FREELANCER,기타,기타가족소유,10000000.0,생활비,2.0,15000000.0,0.0,2364,0,3,2
23600,60,600.0,60000000.0,EARNEDINCOME,정규직,자가,60000000.0,대환대출,6.0,58000000.0,1.0,1592,0,6,0
23602,40,730.0,38000000.0,EARNEDINCOME,정규직,자가,3000000.0,생활비,3.0,542000000.0,1.0,474,0,2,3
23609,30,570.0,15000000.0,OTHERINCOME,기타,전월세,3000000.0,생활비,6.0,18000000.0,0.0,1763,0,12,2
23612,60,430.0,24000000.0,EARNEDINCOME,정규직,자가,35000000.0,대환대출,5.0,81000000.0,0.0,167,0,1,1
23620,30,620.0,35000000.0,EARNEDINCOME,정규직,자가,30000000.0,대환대출,3.0,80000000.0,1.0,375,0,2,0
23622,30,740.0,38000000.0,EARNEDINCOME,정규직,전월세,30000000.0,대환대출,3.0,43000000.0,1.0,441,0,6,0
23630,40,770.0,30000000.0,OTHERINCOME,기타,기타가족소유,5000000.0,생활비,1.0,7000000.0,0.0,748,0,6,2
23631,30,940.0,50000000.0,EARNEDINCOME,정규직,전월세,500000000.0,주택구입,3.0,194000000.0,1.0,282,0,1,0
23636,20,570.0,10000000.0,EARNEDINCOME2,정규직,기타가족소유,5000000.0,생활비,1.0,18000000.0,1.0,89,0,1,3
23656,30,640.0,45000000.0,FREELANCER,기타,전월세,5000000.0,생활비,2.0,6000000.0,1.0,922,0,1,2
23663,40,700.0,50000000.0,EARNEDINCOME,정규직,자가,20000000.0,생활비,5.0,161000000.0,1.0,4980,0,32,3
23665,30,780.0,36000000.0,EARNEDINCOME,정규직,자가,120000000.0,대환대출,1.0,120000000.0,1.0,628,0,1,0
23670,40,950.0,50000000.0,EARNEDINCOME,정규직,기타가족소유,3000000.0,기타,1.0,3000000.0,1.0,620,0,6,0
23680,30,540.0,43000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,생활비,5.0,30000000.0,1.0,1219,0,7,3
23683,50,720.0,3000000.0,FREELANCER,기타,전월세,3000000.0,생활비,3.0,24000000.0,0.0,1653,0,5,2
23684,30,830.0,20000000.0,EARNEDINCOME,정규직,전월세,15000000.0,대환대출,2.0,14000000.0,0.0,284,0,6,1
23695,30,640.0,155000000.0,PRIVATEBUSINESS,정규직,기타가족소유,50000000.0,생활비,4.0,43000000.0,1.0,107,0,1,3
23699,40,680.0,46000000.0,EARNEDINCOME,정규직,전월세,5000000.0,생활비,1.0,10000000.0,0.0,2658,0,9,1
23700,40,600.0,44000000.0,EARNEDINCOME,정규직,전월세,100000000.0,대환대출,7.0,93000000.0,1.0,778,0,3,0
23704,40,950.0,42000000.0,EARNEDINCOME,계약직,기타가족소유,100000000.0,주택구입,1.0,7000000.0,1.0,898,0,4,0
23720,20,720.0,8000000.0,EARNEDINCOME2,기타,기타가족소유,2000000.0,생활비,1.0,2000000.0,0.0,386,0,1,2
23722,30,800.0,70000000.0,EARNEDINCOME,정규직,자가,50000000.0,대환대출,3.0,246000000.0,1.0,1363,0,1,0
23723,60,770.0,50000000.0,PRIVATEBUSINESS,기타,자가,100000000.0,사업자금,3.0,140000000.0,1.0,362,0,1,2
23725,30,670.0,30000000.0,EARNEDINCOME,정규직,자가,50000000.0,생활비,4.0,82000000.0,1.0,2810,0,13,3
23737,20,770.0,3000000.0,PRACTITIONER,정규직,기타가족소유,1000000.0,생활비,2.0,28000000.0,0.0,0,0,2,1
23742,40,640.0,70000000.0,EARNEDINCOME2,기타,전월세,20000000.0,생활비,7.0,32000000.0,0.0,1960,0,6,2
23743,20,840.0,2000000.0,EARNEDINCOME,정규직,기타가족소유,28000000.0,자동차구입,1.0,18000000.0,0.0,823,0,1,1
23746,40,650.0,60000000.0,EARNEDINCOME,정규직,자가,50000000.0,생활비,4.0,1107000000.0,0.0,1236,0,1,1
23748,30,590.0,40000000.0,EARNEDINCOME2,기타,전월세,30000000.0,생활비,7.0,64000000.0,1.0,333,0,1,2
23756,40,760.0,24000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,생활비,4.0,64000000.0,1.0,444,0,2,3
23770,40,610.0,100000000.0,OTHERINCOME,기타,전월세,50000000.0,대환대출,5.0,43000000.0,1.0,1318,0,1,2
23771,30,660.0,45000000.0,PRIVATEBUSINESS,정규직,전월세,40000000.0,대환대출,2.0,37000000.0,1.0,1243,0,10,0
23775,40,720.0,20000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,생활비,1.0,18000000.0,0.0,1242,0,5,1
23776,30,540.0,39000000.0,EARNEDINCOME,정규직,전월세,50000000.0,대환대출,3.0,54000000.0,1.0,352,0,1,0
23789,30,670.0,20000000.0,PRIVATEBUSINESS,정규직,자가,20000000.0,사업자금,1.0,25000000.0,1.0,846,0,5,0
23792,40,720.0,70000000.0,EARNEDINCOME,정규직,전월세,100000000.0,대환대출,4.0,277000000.0,1.0,802,0,1,0
23801,40,610.0,40000000.0,PRIVATEBUSINESS,기타,전월세,10000000.0,사업자금,6.0,32000000.0,1.0,1405,0,2,2
23803,40,730.0,91000000.0,PRIVATEBUSINESS,기타,전월세,40000000.0,생활비,5.0,184000000.0,1.0,814,0,5,2
23804,40,690.0,20000000.0,OTHERINCOME,기타,기타가족소유,3000000.0,생활비,2.0,45000000.0,1.0,1064,0,1,2
23819,50,520.0,28000000.0,EARNEDINCOME,계약직,전월세,70000000.0,대환대출,5.0,48000000.0,0.0,1519,0,2,1
23827,30,860.0,12000000.0,EARNEDINCOME,계약직,기타가족소유,10000000.0,생활비,1.0,11000000.0,0.0,371,0,1,1
23829,30,650.0,29000000.0,EARNEDINCOME,정규직,전월세,40000000.0,대환대출,3.0,34000000.0,0.0,282,0,8,1
23831,20,650.0,20000000.0,OTHERINCOME,기타,전월세,30000000.0,생활비,2.0,20000000.0,0.0,4587,0,8,2
23837,40,700.0,25000000.0,EARNEDINCOME,정규직,전월세,20000000.0,생활비,2.0,39000000.0,0.0,367,0,1,1
23838,40,490.0,51000000.0,EARNEDINCOME,정규직,기타가족소유,100000000.0,대환대출,9.0,138000000.0,0.0,3460,0,12,1
23846,40,910.0,60000000.0,PRIVATEBUSINESS,정규직,자가,100000000.0,사업자금,5.0,40000000.0,1.0,357,0,1,0
23848,40,650.0,19000000.0,FREELANCER,기타,자가,30000000.0,대환대출,2.0,174000000.0,1.0,715,0,1,2
23849,30,960.0,38000000.0,EARNEDINCOME,정규직,자가,100000000.0,생활비,1.0,18000000.0,1.0,418,0,1,3
23858,50,970.0,200000000.0,PRIVATEBUSINESS,기타,전월세,30000000.0,대환대출,2.0,152000000.0,1.0,300,0,1,2
23859,30,890.0,2000000.0,OTHERINCOME,기타,기타가족소유,20000000.0,대환대출,3.0,20000000.0,1.0,340,0,1,2
23860,20,660.0,25000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,대환대출,1.0,19000000.0,1.0,1301,0,1,0
23861,20,840.0,4000000.0,OTHERINCOME,기타,기타가족소유,500000000.0,사업자금,2.0,34000000.0,1.0,351,0,3,2
23883,30,570.0,27000000.0,EARNEDINCOME,정규직,전월세,3000000.0,생활비,3.0,43000000.0,0.0,614,0,2,1
23889,20,830.0,24000000.0,FREELANCER,기타,기타가족소유,20000000.0,대환대출,4.0,87000000.0,0.0,597,0,1,2
23890,40,980.0,44000000.0,EARNEDINCOME,정규직,기타가족소유,35000000.0,대환대출,4.0,33000000.0,1.0,488,0,2,0
23898,30,910.0,41000000.0,EARNEDINCOME,정규직,자가,10000000.0,생활비,3.0,190000000.0,1.0,1474,0,7,3
23899,20,750.0,13000000.0,EARNEDINCOME2,기타,기타가족소유,5000000.0,생활비,3.0,18000000.0,1.0,360,0,1,2
23906,40,970.0,50000000.0,OTHERINCOME,기타,자가,80000000.0,생활비,1.0,18000000.0,0.0,1224,0,1,2
23908,30,650.0,22000000.0,EARNEDINCOME,정규직,기타가족소유,10000000.0,대환대출,3.0,44000000.0,0.0,1446,0,3,1
23915,40,770.0,100000000.0,PRIVATEBUSINESS,기타,자가,450000000.0,대환대출,3.0,61000000.0,1.0,785,0,1,2
23916,30,680.0,40000000.0,EARNEDINCOME,정규직,전월세,10000000.0,대환대출,3.0,180000000.0,1.0,547,0,1,0
23924,40,630.0,50000000.0,OTHERINCOME,기타,전월세,3000000.0,생활비,8.0,33000000.0,0.0,860,0,2,2
23926,30,950.0,47000000.0,EARNEDINCOME,정규직,전월세,50000000.0,대환대출,3.0,50000000.0,0.0,2134,0,8,1
23938,30,780.0,62000000.0,EARNEDINCOME,정규직,자가,30000000.0,생활비,7.0,196000000.0,1.0,3885,0,6,3
23952,50,710.0,40000000.0,PRIVATEBUSINESS,기타,자가,50000000.0,생활비,4.0,100000000.0,0.0,537,0,1,2
23966,40,630.0,35000000.0,EARNEDINCOME,계약직,기타가족소유,10000000.0,생활비,1.0,18000000.0,1.0,854,0,1,3
23971,40,800.0,12000000.0,EARNEDINCOME,정규직,기타가족소유,20000000.0,생활비,3.0,36000000.0,1.0,943,0,1,3
23975,20,700.0,24000000.0,OTHERINCOME,기타,전월세,1000000.0,생활비,1.0,1000000.0,1.0,414,0,3,2
23985,40,970.0,100000000.0,OTHERINCOME,기타,전월세,400000000.0,주택구입,2.0,336000000.0,1.0,235,0,1,2
23987,30,600.0,62000000.0,EARNEDINCOME,정규직,기타가족소유,40000000.0,생활비,3.0,67000000.0,1.0,5852,0,10,3
23991,40,620.0,27000000.0,EARNEDINCOME,정규직,자가,10000000.0,생활비,6.0,34000000.0,0.0,1318,0,2,1
23996,30,950.0,30000000.0,FREELANCER,기타,전월세,35000000.0,생활비,5.0,20000000.0,0.0,241,0,3,2
23997,40,700.0,46000000.0,EARNEDINCOME,정규직,전월세,55000000.0,대환대출,1.0,36000000.0,1.0,3266,0,12,0
23998,30,760.0,45000000.0,EARNEDINCOME,정규직,자가,30000000.0,대환대출,3.0,166000000.0,1.0,870,0,4,0
24002,40,590.0,60000000.0,EARNEDINCOME,정규직,전월세,50000000.0,대환대출,13.0,113000000.0,1.0,425,0,1,0
24012,20,750.0,35000000.0,OTHERINCOME,기타,기타가족소유,5000000.0,생활비,2.0,3000000.0,1.0,190,0,1,2
24017,30,800.0,35000000.0,EARNEDINCOME2,정규직,기타가족소유,30000000.0,생활비,3.0,47000000.0,1.0,846,0,2,3
24022,30,850.0,35000000.0,EARNEDINCOME,정규직,자가,20000000.0,생활비,6.0,58000000.0,1.0,1240,0,4,3
24024,40,970.0,60000000.0,EARNEDINCOME,정규직,자가,100000000.0,기타,2.0,28000000.0,1.0,916,0,5,0
24033,20,660.0,30000000.0,EARNEDINCOME,정규직,전월세,2000000.0,생활비,1.0,4000000.0,0.0,383,0,1,1
24035,30,780.0,65000000.0,OTHERINCOME,기타,전월세,4000000.0,생활비,1.0,4000000.0,1.0,574,0,2,2
24037,20,770.0,28000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,생활비,1.0,18000000.0,0.0,390,0,3,1
24055,30,1000.0,90000000.0,EARNEDINCOME,정규직,자가,77000000.0,대환대출,2.0,375000000.0,1.0,452,0,1,0
24064,40,580.0,50000000.0,EARNEDINCOME,정규직,전월세,7000000.0,생활비,7.0,86000000.0,0.0,1294,0,3,1
24069,30,760.0,300000000.0,PRIVATEBUSINESS,정규직,자가,30000000.0,대환대출,6.0,221000000.0,1.0,1360,0,5,0
24071,30,650.0,30000000.0,FREELANCER,기타,전월세,3000000.0,기타,5.0,16000000.0,1.0,1312,0,5,2
24073,20,740.0,15000000.0,EARNEDINCOME,계약직,기타가족소유,2000000.0,생활비,1.0,3000000.0,1.0,615,0,2,3
24075,40,660.0,2000000.0,EARNEDINCOME,정규직,기타가족소유,5000000.0,생활비,1.0,18000000.0,1.0,1317,0,1,3
24077,40,670.0,20000000.0,PRIVATEBUSINESS,기타,전월세,20000000.0,생활비,4.0,13000000.0,0.0,185,0,1,2
24093,20,830.0,18000000.0,OTHERINCOME,기타,전월세,10000000.0,생활비,1.0,18000000.0,1.0,379,0,1,2
24096,50,830.0,70000000.0,PRIVATEBUSINESS,정규직,자가,80000000.0,사업자금,2.0,19000000.0,1.0,531,0,1,0
24100,50,590.0,30000000.0,EARNEDINCOME,계약직,전월세,3000000.0,대환대출,3.0,28000000.0,0.0,479,0,1,1
24101,40,980.0,39000000.0,EARNEDINCOME,계약직,전월세,30000000.0,생활비,3.0,56000000.0,0.0,257,0,1,1
24104,30,930.0,70000000.0,EARNEDINCOME,정규직,전월세,50000000.0,투자,4.0,231000000.0,1.0,259,0,2,0
24105,30,590.0,30000000.0,EARNEDINCOME2,정규직,기타가족소유,3000000.0,생활비,1.0,8000000.0,1.0,612,0,4,3
24109,50,970.0,98000000.0,PRACTITIONER,정규직,전월세,100000000.0,주택구입,6.0,275000000.0,0.0,1105,0,1,1
24113,30,650.0,32000000.0,EARNEDINCOME,정규직,자가,30000000.0,대환대출,2.0,26000000.0,1.0,378,0,1,0
24116,30,650.0,30000000.0,EARNEDINCOME,정규직,전월세,10000000.0,생활비,3.0,62000000.0,0.0,276,0,1,1
24119,20,830.0,42000000.0,EARNEDINCOME,정규직,전월세,29000000.0,대환대출,5.0,29000000.0,1.0,452,0,1,0
24125,20,740.0,12000000.0,FREELANCER,기타,기타가족소유,3000000.0,대환대출,1.0,2000000.0,0.0,499,0,1,2
24134,40,620.0,20000000.0,FREELANCER,기타,기타가족소유,20000000.0,대환대출,8.0,22000000.0,0.0,1607,0,7,2
24137,50,810.0,130000000.0,PRIVATEBUSINESS,정규직,자가,20000000.0,생활비,5.0,50000000.0,1.0,213,0,2,3
24144,20,550.0,24000000.0,EARNEDINCOME,계약직,전월세,20000000.0,생활비,3.0,15000000.0,0.0,859,0,4,1
24151,60,980.0,120000000.0,PRACTITIONER,정규직,자가,100000000.0,전월세보증금,2.0,73000000.0,1.0,1504,0,1,0
24155,20,590.0,45000000.0,EARNEDINCOME,정규직,기타가족소유,1000000.0,생활비,1.0,1000000.0,1.0,844,0,1,3
24157,30,590.0,35000000.0,EARNEDINCOME,계약직,자가,20000000.0,대환대출,4.0,54000000.0,0.0,702,0,1,1
24161,30,940.0,43000000.0,EARNEDINCOME,정규직,전월세,30000000.0,기타,3.0,22000000.0,1.0,622,0,2,0
24175,40,850.0,18000000.0,FREELANCER,기타,전월세,5000000.0,생활비,2.0,62000000.0,0.0,1006,0,2,2
24178,50,680.0,47000000.0,EARNEDINCOME2,기타,전월세,10000000.0,사업자금,4.0,68000000.0,1.0,3505,0,6,2
24180,50,710.0,50000000.0,OTHERINCOME,기타,자가,50000000.0,대환대출,5.0,53000000.0,0.0,1342,0,1,2
24183,30,900.0,50000000.0,EARNEDINCOME,정규직,전월세,50000000.0,생활비,3.0,108000000.0,1.0,569,0,5,3
24191,20,640.0,19000000.0,EARNEDINCOME2,정규직,기타가족소유,2000000.0,생활비,3.0,23000000.0,1.0,1314,0,2,3
24210,20,740.0,0.0,OTHERINCOME,기타,기타가족소유,3000000.0,생활비,3.0,18000000.0,1.0,1058,0,1,2
24211,40,830.0,23000000.0,EARNEDINCOME,정규직,기타가족소유,23000000.0,대환대출,6.0,21000000.0,0.0,1395,0,1,1
24216,40,660.0,65000000.0,EARNEDINCOME,정규직,자가,15000000.0,생활비,3.0,84000000.0,1.0,131,0,2,3
24220,40,620.0,20000000.0,OTHERINCOME,기타,자가,20000000.0,대환대출,9.0,14000000.0,0.0,951,0,6,2
24226,40,650.0,27000000.0,EARNEDINCOME,정규직,전월세,30000000.0,생활비,8.0,44000000.0,0.0,689,0,3,1
24230,20,650.0,33000000.0,EARNEDINCOME,계약직,자가,7000000.0,대환대출,6.0,34000000.0,1.0,7339,0,19,0
24235,40,840.0,100000000.0,EARNEDINCOME,정규직,자가,100000000.0,생활비,4.0,430000000.0,1.0,221,0,1,3
